Metadata_Plate,Metadata_Well,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_Batch_Number,Metadata_Batch_Date,Metadata_well_position,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_Metadata_broad_sample_type,Metadata_broad_sample_type,Cells_AreaShape_Area,Cells_Intensity_IntegratedIntensity_DNA,Cytoplasm_AreaShape_Area,Cytoplasm_Intensity_IntegratedIntensity_DNA,Nuclei_AreaShape_Area,Nuclei_Intensity_IntegratedIntensity_DNA
SQ00015116,B06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B06,NA,NA,NA,DMSO,control,control,-1.0217360007844418,-0.8967921381691654,-0.925756822338901,-1.6661854098564792,-2.4942608096294303,-0.5646771593881474
SQ00015116,C01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C01,BRD-K25650355-065-02-0,3.7342500000000003,10,DMSO,permutation,permutation,-0.10810437523968536,-0.30674665162344356,-0.09767115117788065,-0.7046516337029272,-0.6691356313021297,-0.16251109863604893
SQ00015116,C02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C02,BRD-K25650355-065-02-0,1.2447499999990426,3.3333333333307693,DMSO,permutation,permutation,-0.09496808310982043,3.5010492752814635,-0.19603647069899324,2.813606156547347,1.3388408936176999,4.191309119601044
SQ00015116,C03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C03,BRD-K25650355-065-02-0,0.4149166666682625,1.1111111111153846,DMSO,permutation,permutation,-0.576808970240609,-1.5410264133304723,-0.5455097961009907,-1.8512741085962625,-1.1957128179431802,-1.5387141321401585
SQ00015116,C04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C04,BRD-K25650355-065-02-0,0.13830555555513,0.37037037036923076,DMSO,permutation,permutation,-1.699516299788502,-0.3026336658584755,-1.6275407533062276,-2.8358044880415,-2.2656698698879376,0.9701254480989148
SQ00015116,C05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C05,BRD-K25650355-065-02-0,0.04610185185171,0.12345679012307692,DMSO,permutation,permutation,-1.0335796517506026,0.28174670160546583,-0.9575017277854758,-0.9551276178736241,-2.137810583587272,0.9689104380955091
SQ00015116,C06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C06,BRD-K25650355-065-02-0,0.0153672839515275,0.04115226337692308,DMSO,permutation,permutation,-1.009639613630751,0.9646344865483067,-0.9319806098590849,-0.8486414654804181,-2.1514825372880813,2.006907136228859
SQ00015116,D01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D01,BRD-K25837718-001-03-8,8.27995,10,DMSO,permutation,permutation,0.7435469744560018,0.509832244002452,0.6588375361037145,0.8623076704507132,1.3004886463671825,0.33022273132745994
SQ00015116,D02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D02,BRD-K25837718-001-03-8,2.7599833333312103,3.3333333333307693,DMSO,permutation,permutation,-0.3753305476498117,-0.49600043365888213,-0.2540902263794938,-0.035934495002159,-2.748681196157386,-0.7345630805113844
SQ00015116,D03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D03,BRD-K25837718-001-03-8,0.9199944444479828,1.1111111111153846,DMSO,permutation,permutation,-0.5544097289472677,0.6191461597623388,-0.5448568201477044,-0.4828182817608841,-0.7845699567224934,1.2306534610434228
SQ00015116,D04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D04,BRD-K25837718-001-03-8,0.30666481481387126,0.37037037036923076,DMSO,permutation,permutation,-0.9340281894584841,0.5510692042372191,-0.9356231031847008,-0.9561719496897539,-0.7090857588451629,1.3613413106465524
SQ00015116,D05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D05,BRD-K25837718-001-03-8,0.10222160493795708,0.12345679012307692,DMSO,permutation,permutation,-1.7672464550412406,-0.09873233161899975,-1.7106045760377258,-2.036172486773596,-1.9954310754099813,0.9163321690151434
SQ00015116,D06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D06,BRD-K25837718-001-03-8,0.03407386831477542,0.04115226337692308,DMSO,permutation,permutation,-1.8417843338037474,-0.08342889289734498,-1.737512232572516,-2.198704809162728,-2.8816837209713007,1.0194786349512368
